1,799
43,736
114,823
115,800
152,1039
194,824
195,1121
251,5349
252,12586
300,5410
301,966
362,5954
373,1009
468,1344
528,1170
529,11521
570,1316
587,2141
601,11848
643,11043
644,1288
673,1700
674,13056
675,5801
718,9061
735,11849
737,1462
822,8961
869,7189
1220,1882
1221,1665
1253,6084
1315,11899
1343,1706
1400,6204
1429,2055
1495,1910
1496,1911
1525,2039
1550,5712
1593,1897
1614,1979
1631,2049
1732,2037
1759,4198
1830,5088
1854,4417
1855,2063
1977,4593
1978,2137
2015,4457
2016,2082
2052,5168
2057,4327
2059,4325
2096,11872
2165,10384
2166,10383
2966,24108
3486,16632
3832,16713
3833,16795
3834,13308
3860,17687
3881,17258
3916,15003
3917,15789
4009,15759
4010,15955
4109,14951
4161,15232
4189,4774
4190,4780
4222,15820
4259,15914
4265,14383
4326,5571
4374,7676
4418,5025
4432,7677
4533,5169
4572,15072
4613,16368
4677,5336
4699,7860
4864,5839
4911,15435
4995,13259
4996,8162
5020,6068
5024,5634
5059,16750
5176,8124
5177,8193
5201,5823
5281,12992
5335,11850
5337,6067
5338,6069
5405,5991
5406,6534
5447,16058
5610,6394
5838,7110
5893,6858
5894,6660
6117,6857
6175,6763
6246,6819
6363,7021
6402,7113
6472,7077
6475,8038
6614,7377
6621,7188
6692,7721
6902,7473
6909,7604
7028,12096
7076,11931
7147,12552
7258,7925
7313,12144
7471,8249
7472,8160
7528,12906
7554,8159
7556,8125
7641,8618
7770,8438
7811,8391
7854,8546
7859,19358
7896,8437
7898,19275
7924,19549
7949,9041
8037,19590
8076,19359
8161,8920
8192,13411
8287,8979
8355,9040
8356,9062
8495,19934
8496,13317
8545,13372
8606,13913
8714,9582
8774,9413
8775,18863
8816,9365
8833,10362
8848,19191
8890,25933
8891,9525
8918,20406
8919,13731
8977,19192
8978,9554
9063,9828
9107,15112
9208,9730
9252,9936
9284,9961
9458,10283
9459,9899
9492,14045
9493,33387
9553,19242
9581,10144
9640,14156
9666,12177
9698,10210
9731,10209
9761,10269
9786,13653
9849,10290
9866,10145
9967,10358
9993,12574
10064,13088
10089,12395
10131,10278
10208,13161
10246,12432
10285,12314
10287,12315
10321,19215
10392,32463
11932,23152
12014,23124
12015,23320
12168,12745
12169,12750
12202,23183
12243,23279
12313,13515
12394,13019
12408,15636
12409,15588
12506,13162
12658,13310
12682,15758
12842,13778
12993,16032
13015,14029
13020,13582
13172,15998
13173,16057
13194,13761
13309,14324
13365,13950
13366,14478
13553,14342
13777,15035
13832,14786
13833,14587
14068,14787
14131,14701
14201,14747
14349,15038
14424,15004
14426,15915
14545,15304
14552,15111
14831,15390
14838,15508
14944,15637
15181,15821
15388,16111
15389,16031
15462,16030
15464,15999
15541,16491
15689,16315
15719,16266
15753,16415
15786,16314
15847,16848
16029,16751
16226,16847
16227,16875
16367,20670
16414,20725
16480,21265
16589,17283
16631,17146
16678,17111
16700,17717
16732,17225
16752,21083
16784,24252
16796,17259
16874,24162
16876,17471
16912,22474
16979,17413
17022,17548
17048,17562
17176,17662
17195,21397
17282,17611
17343,21508
17374,19522
17395,17632
17412,17633
17423,17653
17434,21005
17485,17667
17494,17612
17564,20100
17577,19922
17599,20438
17604,19742
17609,17657
17634,20510
17644,19779
17664,19661
17738,25139
17739,25138
19193,28303
19274,30046
19441,29997
19489,30282
19513,20095
19514,20370
19604,29397
19662,20544
19663,20868
19704,22951
19743,20660
19756,22950
19854,20511
19900,30117
20006,21113
20030,23123
20193,21129
20253,30497
20343,28249
20344,23397
20365,21381
20369,20934
20521,23424
20522,23363
20611,27963
20659,26802
20661,21677
20718,21302
20719,21831
20764,31587
20905,21695
21130,22397
21184,22147
21185,21946
21420,22146
21482,22060
21553,22108
21702,22400
21775,22366
21777,23280
21905,22663
21912,22473
22192,22747
22199,22867
22306,22999
22313,27077
22365,26883
22434,27539
22544,23184
22592,27130
22746,23478
22748,23396
22793,27880
22821,23394
22823,23364
22901,23864
23052,23686
23082,23638
23119,23787
23150,23687
23209,24226
23395,24130
23423,28415
23597,24254
23598,24227
23738,35812
23739,28317
23786,28378
23852,28923
23965,24664
24007,24524
24008,34690
24054,24488
24076,25116
24089,35035
24109,24607
24128,36257
24129,28768
24173,35034
24174,24640
24253,24859
24290,30159
24357,24800
24400,24939
24426,24956
24553,25059
24575,29053
